nombres,I11,I20,I35,I41,I44,I3,I9,I13,I18,I24,I33,I39,I6,I16,I26,I38,I2,I40,I43,I49,I55,I62,I67,I70,I71,I46,I61,I68,I50,I65,I66,I75,I47,I54,I63,I69,corte_1,corte_2,corte_3,final
Participante1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.3,4.2,2.6,1
Participante2,5,5,5,5,5,5,6,5,1,5,6,6,7,7,7,7,7,6,7,6,6,5,6,6,7,7,6,6,5,5,7,6,6,6,6,6,3.4,3.9,3.5,2
Participante3,4,4,6,4,6,6,5,3,2,7,5,5,5,5,4,5,4,6,5,6,5,6,5,6,6,5,5,6,5,4,5,6,5,6,6,6,3.6,2.6,2.3,1
Participante4,6,6,5,5,6,7,3,6,7,7,6,7,7,7,7,7,6,7,7,6,7,7,6,7,7,6,7,5,5,5,7,6,6,6,7,6,4.6,3.9,3.8,2
Participante5,6,6,7,7,5,5,5,5,5,4,6,5,7,7,7,7,7,7,7,6,7,6,6,7,6,7,7,7,6,6,7,7,7,7,7,7,3.9,3.5,3.0,1
Participante6,7,5,4,4,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,5,7,7,7,5,7,7,7,7,7,7,7,7,7,7,3.3,3.7,2.6,1
Participante7,5,4,7,5,5,5,4,6,6,3,5,6,6,5,5,6,7,6,6,7,7,7,7,6,7,5,7,5,6,5,7,6,7,5,7,4,3.9,4.1,2.8,2
Participante8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4.9,4.3,3.5,2
Participante9,6,7,7,6,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,4.3,4.4,3.2,2
Participante10,7,6,7,6,6,2,7,1,1,7,2,5,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,6,7,7,7,7,7,5,7,7,4.3,4.4,3.2,2
Participante11,7,6,6,7,7,6,6,7,4,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.9,4.0,3.1,1
Participante12,6,5,7,5,6,6,6,5,6,7,5,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,7,6,7,6,7,6,6,6,2.7,3.6,2.4,1
Participante13,7,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.0,3.8,2.4,1
Participante14,5,3,6,6,7,7,4,4,3,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,4.5,4.2,3.4,2
Participante15,5,5,5,5,5,5,5,5,4,2,3,3,5,5,5,1,5,6,5,4,5,5,6,5,5,6,6,5,4,3,7,3,2,4,5,6,3.2,3.4,3.1,1
Participante16,4,5,6,6,6,7,6,6,5,6,6,6,6,6,7,5,6,7,7,7,7,7,6,7,6,6,7,7,6,5,6,7,7,5,7,5,3.1,3.5,2.7,1
Participante17,6,6,7,5,6,6,6,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,5,6,1,7,7,7,6,7,7,7,5,3.7,3.9,2.6,1
